date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:41:11	57778/57778	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:41:10%20GMT	https://www.mapleparking.co.uk/booking-with-maple-parking/	F:/Temp/qwe/www.mapleparking.co.uk/booking-with-maple-parking/index.html	(from https://www.mapleparking.co.uk/about-us/)
05:41:11	730/730	---MC-	200	added ('OK')	application/rss+xml	etag:%22cd8d779c680eb4de3c8bde57ae24dc56%22	https://www.mapleparking.co.uk/reviews/feed/	F:/Temp/qwe/www.mapleparking.co.uk/reviews/feed/index.html	(from https://www.mapleparking.co.uk/reviews/)
05:41:12	53929/53929	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2000:41:12%20GMT	https://www.mapleparking.co.uk/park-and-ride/	F:/Temp/qwe/www.mapleparking.co.uk/park-and-ride/index.html	(from https://www.mapleparking.co.uk/about-us/)
05:41:12	7954/7954	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:41:12%20GMT	https://www.mapleparking.co.uk/wp-json/wp/v2/pages/89	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/wp/v2/pages/89.json	(from https://www.mapleparking.co.uk/reviews/)
05:41:13	2683/2683	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:41:13%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Freviews%2F	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embed68ad.json	(from https://www.mapleparking.co.uk/reviews/)
05:41:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202023%2000:41:14%20GMT	https://www.mapleparking.co.uk/?p=89	F:/Temp/qwe/www.mapleparking.co.uk/index3fbb.html	(from https://www.mapleparking.co.uk/reviews/)
05:41:16	2763/2763	---MC-	200	added ('OK')	text/xml	date:Sun,%2004%20Jun%202023%2000:41:16%20GMT	https://www.mapleparking.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.mapleparking.co.uk%2Freviews%2F&format=xml	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/oembed/1.0/embeddd4a	(from https://www.mapleparking.co.uk/reviews/)
05:41:16	51726/51726	---M--	200	added ('OK')	image/png	etag:%22615dab72-ca0e%22	https://www.mapleparking.co.uk/wp-content/uploads/2021/10/Maple-Parking-Loyalty.png	F:/Temp/qwe/www.mapleparking.co.uk/wp-content/uploads/2021/10/Maple-Parking-Loyalty.png	(from https://www.mapleparking.co.uk/rewards-loyalty/)
05:41:18	10531/10531	---MC-	200	added ('OK')	application/json	date:Sun,%2004%20Jun%202023%2000:41:17%20GMT	https://www.mapleparking.co.uk/wp-json/wp/v2/pages/501	F:/Temp/qwe/www.mapleparking.co.uk/wp-json/wp/v2/pages/501.json	(from https://www.mapleparking.co.uk/rewards-loyalty/)
05:41:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202023%2000:41:19%20GMT	https://www.mapleparking.co.uk/?p=501	F:/Temp/qwe/www.mapleparking.co.uk/indexc508.html	(from https://www.mapleparking.co.uk/rewards-loyalty/)
